,taxonomy,word,optimal components,optimal clusters,best_score,cosine sim,mev,optimal ari,optimal ari std,2D ari,2D ari std,optimal intra sim,optimal inter sim,2D intra sim,2D inter sim
0,1,weight,2,2,0.7506518,0.3106794,0.1728182441,1,0,1,0,0.815603322,0.181045241,0.8156034389,0.1810451809
1,1,pressure,2,2,0.82123697,0.24340442,0.1380072685,1,0,1,0,0.8667818278,0.1566806142,0.8667818278,0.1566806354
2,1,electricity,2,2,0.53989565,0.33332673,0.1083301741,0.618091728,0.3188137293,0.6168659725,0.3176285415,0.6118612078,0.3325063124,0.611861269,0.3325062891
3,1,temperature,2,3,0.6366121,0.34021804,0.06612637092,0.9031763945,0.1236088701,0.9210656961,0.07409072284,0.8395115974,0.3187402865,0.8395115131,0.3187403087
4,1,energy,2,3,0.68554956,0.24954417,0.09333778366,0.9813130965,0.01987850529,0.9816951519,0.01981905672,0.8336867146,0.2991770919,0.8336867146,0.299177061
5,2,water,2,2,0.58528095,0.27882728,0.0677839031,0.9846131167,0.01353638557,0.9845603528,0.01369710949,0.7181043502,0.277731649,0.7181042197,0.277731683
6,2,planet,2,4,0.7128143,0.3053966,0.1051606826,0.9630817553,0.03294430183,0.9621610371,0.03895137414,0.9207608745,0.3597553812,0.9207608745,0.3597553812
7,2,cancer,2,3,0.69534296,0.39229336,0.07206269043,0.9867234024,0.01178990596,0.9865331404,0.01180925637,0.8684068988,0.3146875649,0.8684070116,0.3146875649
8,2,protein,2,4,0.51256496,0.36310747,0.09575264,0.6681350063,0.2100796828,0.6735537781,0.2110430987,0.8593092017,0.3245493799,0.8593093124,0.3245493155
9,2,tiger,2,2,0.59127945,0.33486602,0.1047050229,1,0,1,0,0.7002722439,0.251427366,0.7002729433,0.2514266585
10,3,theory,2,3,0.84671414,0.22790399,0.1186884198,0.993229843,0.03659721001,0.9932299264,0.03659731018,0.9263449719,0.3012780998,0.92671436,0.3012654246
11,3,system,2,3,0.65129936,0.21677926,0.05851094401,1,0,1,0,0.853679274,0.2781470377,0.8536797146,0.2781467976
12,3,data,2,2,0.66792965,0.31415692,0.07982767139,1,0,1,0,0.7635387935,0.2291435028,0.7635396618,0.2291429302
13,3,concept,2,3,0.72367156,0.21968451,0.07301555119,0.9913016747,0.01057366706,0.9919316561,0.01043014783,0.8683228509,0.302860417,0.8683227585,0.3028604455
14,3,information,2,3,0.5296095,0.27066866,0.026870739,0.6902907351,0.2510352775,0.7051726144,0.2460548412,0.8190246286,0.3297551085,0.8190276018,0.3297539489
15,4,truth,2,2,0.540268,0.31685016,0.07180126672,0.9275212434,0.06704785599,0.9278925821,0.06693237523,0.7062940005,0.2824404706,0.7062939328,0.2824404896
16,4,freedom,2,4,0.65434164,0.28059515,0.1125543722,0.9459582708,0.1555400863,0.9503963936,0.1498211465,0.9097507468,0.3721182401,0.9097507468,0.3721182401
17,4,responsibility,2,2,0.5693825,0.28406325,0.1360849191,0.9280905025,0.126900291,0.9433479453,0.1163754969,0.7112179066,0.2816186127,0.711217951,0.2816185865
18,4,knowledge,2,3,0.67267334,0.26506707,0.08145899535,0.9819811294,0.03279689321,0.9813354792,0.03794670906,0.8539524712,0.2984091033,0.8539525253,0.2984091033
19,4,duty,4,5,0.7196945,0.19068447,0.08070166439,0.9792335574,0.08835567903,0.7821864919,0.2261715731,0.8704323655,0.3905954253,0.8753664779,0.4091502409
20,5,family,2,3,0.64838326,0.28251228,0.03956008367,0.9944488235,0.005028017431,0.9945236761,0.005113048883,0.8504090742,0.3256462527,0.8504089519,0.325646222
21,5,marriage,8,9,0.39409572,0.3255311,0.07192969557,0.5991163657,0.09876378819,0.6387545489,0.1231448339,0.7834712952,0.4588040455,0.9190353172,0.4408010486
