Word,Dialogue,PAR,SIT,INF,EVA,Total
Computer ,1,8,0,7,9,24
Computer ,2,4,7,8,5,24
Computer ,3,17,2,3,2,24
Computer ,4,7,13,1,3,24
Computer ,5,10,1,7,6,24
Education,1,10,9,2,3,24
Education,2,14,3,7,0,24
Education,3,10,4,7,3,24
Education,4,6,3,11,4,24
Education,5,11,0,10,3,24
Energy,1,11,4,7,2,24
Energy,2,12,3,7,2,24
Energy,3,12,7,3,2,24
Energy,4,7,2,9,1,19
Energy,5,13,5,6,0,24
Freedom,1,14,2,7,1,24
Freedom,2,9,6,8,1,24
Freedom,3,10,2,6,6,24
Freedom,4,6,6,12,0,24
Freedom,5,17,1,3,3,24
Friend,1,20,1,3,0,24
Friend,2,12,1,2,9,24
Friend,3,12,7,5,0,24
Friend,4,18,3,3,0,24
Friend,5,12,5,5,2,24
Planet,1,7,5,9,3,24
Planet,2,7,14,3,0,24
Planet,3,14,2,5,3,24
Planet,4,15,5,3,1,24
Planet,5,14,6,4,0,24
System,1,12,1,8,3,24
System,2,14,3,6,1,24
System,3,15,4,5,0,24
System,4,11,5,6,2,24
System,5,12,4,6,2,24
Theory,1,12,3,9,0,24
Theory,2,3,3,10,8,24
Theory,3,12,2,5,5,24
Theory,4,11,5,5,3,24
Theory,5,15,5,4,0,24
Truth,1,15,2,4,3,24
Truth,2,14,1,6,3,24
Truth,3,21,0,2,1,24
Truth,4,12,3,9,0,24
Truth,5,8,7,4,5,24
Water,1,13,6,4,1,24
Water,2,17,0,6,1,24
Water,3,13,4,6,1,24
Water,4,16,4,2,2,24
Water,5,16,2,6,0,24
